"","Genotype","days_to_heading"
"1","B1K-01-20",33.9903427521688
"2","B1K-02-01",32.9152186452815
"3","B1K-02-02",32.9733861566875
"4","B1K-02-04",33.4019287042251
"5","B1K-02-05",33.0022431429176
"6","B1K-02-06",35.3990583095624
"7","B1K-02-10",33.8966696906606
"8","B1K-02-12",32.972027250196
"9","B1K-02-13",34.5328163711012
"10","B1K-02-14",33.4045765872128
"11","B1K-02-16",32.9381986537539
"12","B1K-02-18",33.5320747571759
"13","B1K-03-03",32.9877782507278
"14","B1K-03-04",33.9020697155778
"15","B1K-03-09",33.066654911463
"16","B1K-03-10",33.5657006191171
"17","B1K-03-11",33.5532351542904
"18","B1K-03-14",33.6553964013042
"19","B1K-03-16",33.0065115642038
"20","B1K-03-17",33.9264169434165
"21","B1K-04-03",33.0550845112964
"22","B1K-04-04",32.9079733858102
"23","B1K-04-08",32.9548940027118
"24","B1K-04-12",32.9547529913591
"25","B1K-04-19",30.8583757117319
"26","B1K-04-20",32.8991993209151
"27","B1K-05-03",27.9177255169165
"28","B1K-05-07",28.9571743548202
"29","B1K-05-08",27.2533942571493
"30","B1K-05-10",27.1793907639954
"31","B1K-05-12",26.9488979174961
"32","B1K-05-13",30.0467700705099
"33","B1K-05-16",30.9564540872523
"34","B1K-05-17",26.9637713439015
"35","B1K-06-01",31.599751064385
"36","B1K-06-06",26.8945271965838
"37","B1K-06-07",32.0986532389348
"38","B1K-06-10",33.0143731657882
"39","B1K-06-14",33.0139121851265
"40","B1K-06-15",33.8802951349405
"41","B1K-06-19",38.1187207076899
"42","B1K-06-20",28.9525195561059
"43","B1K-07-02",32.7758571503413
"44","B1K-07-05",33.1344463243563
"45","B1K-08-01",32.9771710341819
"46","B1K-08-02",30.9509239338183
"47","B1K-08-03",33.1118021686385
"48","B1K-08-05",33.0966860898885
"49","B1K-08-06",34.5379065478177
"50","B1K-08-08",34.051410708875
"51","B1K-08-09",33.9167875961444
"52","B1K-08-10",33.0354115402662
"53","B1K-08-15",28.9281723282672
"54","B1K-08-16",31.083183306368
"55","B1K-08-17",33.0333488668544
"56","B1K-08-18",33.4301347428742
"57","B1K-09-01",33.4930074031464
"58","B1K-09-03",33.6442635457142
"59","B1K-09-04",33.5015182620206
"60","B1K-09-07",34.5415904359962
"61","B1K-09-09",33.2675427095549
"62","B1K-09-10",33.0914941610823
"63","B1K-09-11",33.4287758363826
"64","B1K-09-16",33.0251030489573
"65","B1K-09-18",33.9979509307463
"66","B1K-10-01",33.4817700060801
"67","B1K-10-03",33.47052150155
"68","B1K-10-10",32.9688601794676
"69","B1K-10-12",30.9440748812599
"70","B1K-10-13",33.0566697224396
"71","B1K-10-18",33.0335677714163
"72","B1K-11-04",33.5993677318998
"73","B1K-11-05",32.8500455358003
"74","B1K-11-09",33.0005267099197
"75","B1K-11-10",33.3165554833171
"76","B1K-11-15",33.5245994139414
"77","B1K-11-16",33.4929621081786
"78","B1K-11-18",33.6224793016081
"79","B1K-11-20",33.0214453635104
"80","B1K-12-03",24.0449242995761
"81","B1K-12-05",30.9685760301349
"82","B1K-12-06",30.9912827653901
"83","B1K-12-10",28.949955993493
"84","B1K-13-03",34.0423418363114
"85","B1K-13-06",37.4466277006747
"86","B1K-13-10",33.0163928424782
"87","B1K-13-14",34.4475390110046
"88","B1K-13-15",35.423552288279
"89","B1K-13-20",33.1737545575388
"90","B1K-14-01",34.0809961511758
"91","B1K-14-04",32.9004574555419
"92","B1K-14-06",33.5879757092295
"93","B1K-14-12",37.9501725335031
"94","B1K-14-13",32.9371064510927
"95","B1K-14-17",33.0353232427362
"96","B1K-15-04",33.4951084021168
"97","B1K-15-05",33.476376575413
"98","B1K-15-06",35.057914999255
"99","B1K-15-07",32.8937992959979
"100","B1K-15-12",34.0914402096707
"101","B1K-15-17",34.3663950912508
"102","B1K-15-19",34.0162885592271
"103","B1K-15-20",30.9569956657219
"104","B1K-16-01",30.8650361847592
"105","B1K-16-06",33.484624156927
"106","B1K-16-10",33.0106262420585
"107","B1K-16-15",31.0275109955249
"108","B1K-16-20",34.0135224478155
"109","B1K-17-01",33.6525941604243
"110","B1K-17-03",33.9558853608598
"111","B1K-17-07",34.9626470250411
"112","B1K-17-10",36.5424954551676
"113","B1K-17-13",34.0225619978659
"114","B1K-17-17",35.0349814468361
"115","B1K-17-18",34.5206403590483
"116","B1K-18-02",33.6561478016194
"117","B1K-18-03",33.0054907575087
"118","B1K-18-05",33.0838386798053
"119","B1K-18-09",32.9770300228292
"120","B1K-18-16",33.0060084394841
"121","B1K-18-17",36.0571635989399
"122","B1K-18-18",36.5309581228203
"123","B1K-19-01",35.0201390013684
"124","B1K-19-05",34.9756007080267
"125","B1K-19-08",33.0879304142617
"126","B1K-19-12",35.3733667994693
"127","B1K-19-15",33.0702600525603
"128","B1K-19-20",33.0334267600636
"129","B1K-20-01",33.0281677464991
"130","B1K-20-02",35.0544891409262
"131","B1K-20-07",33.0664520194323
"132","B1K-20-08",34.5246497457809
"133","B1K-20-10",34.511911589121
"134","B1K-20-11",32.9713670511026
"135","B1K-20-13",34.1088804912097
"136","B1K-20-17",34.5041318510171
"137","B1K-20-20",34.0191310878566
"138","B1K-21-02",34.4769591292758
"139","B1K-21-03",35.6233620945909
"140","B1K-21-08",32.9515458004838
"141","B1K-21-10",36.0489220531345
"142","B1K-21-11",35.5551892463946
"143","B1K-21-15",34.0900196000761
"144","B1K-21-20",34.9784432366562
"145","B1K-22-02",33.6406584046169
"146","B1K-22-03",33.9585175087023
"147","B1K-22-06",31.058271812322
"148","B1K-22-08",30.952848946155
"149","B1K-22-09",32.1456224522058
"150","B1K-22-10",35.8312823611783
"151","B1K-22-12",34.4017061925501
"152","B1K-22-13",33.9292224565551
"153","B1K-22-14",34.0683634177808
"154","B1K-22-16",35.0062815454563
"155","B1K-22-18",34.9600390099577
"156","B1K-23-01",34.0617031212807
"157","B1K-23-02",33.3722501651138
"158","B1K-23-06",34.4439496050524
"159","B1K-23-07",34.0593176054273
"160","B1K-23-11",33.0716189590519
"161","B1K-23-12",33.0362135219919
"162","B1K-23-14",31.1247558516242
"163","B1K-23-19",33.9636680676069
"164","B1K-24-01",33.4687191681149
"165","B1K-24-02",33.4687349032601
"166","B1K-24-03",33.1096318915248
"167","B1K-24-05",33.4149528165992
"168","B1K-24-07",32.9436389039316
"169","B1K-24-09",33.9395658731203
"170","B1K-24-10",33.0464151814996
"171","B1K-24-13",33.3716691198541
"172","B1K-24-16",33.4355665059115
"173","B1K-24-18",34.2084498175102
"174","B1K-25-01",33.0117863129135
"175","B1K-25-05",33.5437223949805
"176","B1K-25-08",28.9227723033499
"177","B1K-25-09",34.132275305476
"178","B1K-25-13",28.925052348738
"179","B1K-25-15",31.1689952117026
"180","B1K-25-20",28.9792412305506
"181","B1K-26-03",33.8745337749917
"182","B1K-26-05",34.3610078595744
"183","B1K-26-08",35.4684221090986
"184","B1K-26-09",33.9306791999022
"185","B1K-26-11",36.4805642703732
"186","B1K-26-13",34.6261894210536
"187","B1K-26-16",34.1129665422981
"188","B1K-26-17",34.5792994295155
"189","B1K-27-02",37.5678977542008
"190","B1K-27-08",33.9932074073063
"191","B1K-27-11",34.0017444274835
"192","B1K-27-15",33.9859626905079
"193","B1K-27-19",34.0042364483757
"194","B1K-28-01",32.8455284906691
"195","B1K-28-07",34.5774740329149
"196","B1K-28-10",33.6328748539008
"197","B1K-28-13",33.4831201618785
"198","B1K-28-15",33.4150933690741
"199","B1K-28-17",32.9986536068831
"200","B1K-29-02",33.5117559022275
"201","B1K-29-05",33.4943457896488
"202","B1K-29-13",33.4947236890658
"203","B1K-29-20",34.089268199761
"204","B1K-30-03",33.3585009879394
"205","B1K-30-07",33.1471394980016
"206","B1K-30-11",33.8500612709454
"207","B1K-30-13",33.9359898167372
"208","B1K-30-20",34.1636198523612
"209","B1K-31-01",33.4092681422926
"210","B1K-31-05",34.4386748563426
"211","B1K-31-11",33.0500149090194
"212","B1K-31-15",34.5784176549518
"213","B1K-31-19",33.5334424952088
"214","B1K-32-02",37.0550503441175
"215","B1K-32-08",32.9150776339288
"216","B1K-32-09",32.9098186203643
"217","B1K-32-13",33.0206856540161
"218","B1K-32-18",34.8530479445209
"219","B1K-32-20",34.5830872794901
"220","B1K-33-03",32.8672750528344
"221","B1K-33-06",33.06218249751
"222","B1K-33-09",32.9355507707663
"223","B1K-33-12",34.0088788341467
"224","B1K-33-19",34.0447505421692
"225","B1K-34-02",34.955651149575
"226","B1K-34-05",35.4993098372378
"227","B1K-34-06",34.0628197556363
"228","B1K-34-10",35.9019444393703
"229","B1K-34-14",33.8862163418695
"230","B1K-34-19",32.9439338699072
"231","B1K-34-20",34.3583599765867
"232","B1K-35-03",35.208495112478
"233","B1K-35-04",33.4610565762831
"234","B1K-35-07",35.9494702293041
"235","B1K-35-08",36.3501865471529
"236","B1K-35-11",34.4476800223573
"237","B1K-35-13",34.1262347160214
"238","B1K-35-19",34.5217793511182
"239","B1K-35-20",35.0593399688805
"240","B1K-36-02",34.1607383083999
"241","B1K-36-04",34.4781338356863
"242","B1K-36-06",34.3976149269125
"243","B1K-36-11",33.5034390168268
"244","B1K-36-15",34.4796779058168
"245","B1K-36-16",34.6532243000685
"246","B1K-36-19",34.3799835606406
"247","B1K-37-02",39.9367012179828
"248","B1K-37-06",33.9921436107788
"249","B1K-37-11",33.6132625624521
"250","B1K-37-15",33.5508839998288
"251","B1K-37-19",33.5100552821978
"252","B1K-37-20",33.9645096740534
"253","B1K-38-01",36.0633620557492
"254","B1K-38-08",32.972766577356
"255","B1K-38-12",36.4728241148398
"256","B1K-38-14",34.9506106121501
"257","B1K-38-20",33.5655847986874
"258","B1K-39-02",38.5896949818082
"259","B1K-39-07",34.5051649111008
"260","B1K-39-12",34.0124624657272
"261","B1K-39-16",34.9653101065083
"262","B1K-40-02",34.5117705777683
"263","B1K-40-11",34.4560106370673
"264","B1K-40-17",38.3395968019648
"265","B1K-41-03",35.9481028932975
"266","B1K-41-08",36.7301512947733
"267","B1K-41-11",38.4369463931623
"268","B1K-41-13",38.9686210763764
"269","B1K-41-18",36.0274163461839
"270","B1K-42-01",36.581157961631
"271","B1K-42-07",34.5566854575848
"272","B1K-42-10",34.6396254896701
"273","B1K-42-16",33.238031454021
"274","B1K-42-17",36.3531009630221
"275","B1K-42-19",35.0274419425708
"276","B1K-43-04",33.3990740447076
"277","B1K-43-05",33.9239927101766
"278","B1K-43-11",34.506466269236
"279","B1K-43-14",32.9108437804729
"280","B1K-43-15",34.9489136526413
"281","B1K-43-20",34.4349539635937
"282","B1K-44-02",37.0756692980365
"283","B1K-44-06",34.6711338606927
"284","B1K-44-09",37.4087718963284
"285","B1K-44-14",32.9691625950585
"286","B1K-44-20",34.0938435612591
"287","B1K-45-02",33.0703337639677
"288","B1K-45-05",33.4475547461498
"289","B1K-45-09",35.4915032610194
"290","B1K-45-10",35.0410151565823
"291","B1K-45-18",37.0117410179457
"292","B1K-46-03",32.9655574539611
"293","B1K-46-07",33.0707624093383
"294","B1K-46-15",35.858960612048
"295","B1K-46-20",33.9647847019624
"296","B1K-47-04",34.4819231768648
"297","B1K-47-08",34.9585215442376
"298","B1K-47-12",34.9066383758128
"299","B1K-47-20",36.0220277638505
"300","B1K-48-03",34.014418460756
"301","B1K-48-06",34.5782933064935
"302","B1K-48-11",34.44227999744
"303","B1K-48-13",33.568318122813
"304","B1K-49-04",34.5377986754846
"305","B1K-49-08",33.0117252828005
"306","B1K-49-10",34.4292677515229
"307","B1K-49-11",34.0692171296122
"308","B1K-49-13",32.9770457579744
"309","B1K-49-18",34.4888948850833
"310","B1K-50-04",34.5784629499196
"311","B1K-50-07",34.1403768899852
"312","B1K-50-12",33.5023223824713
"313","B1K-50-14",34.9574008743468
"314","B1K-50-20",39.3447865222357
"315","B1K-51-01",35.9582668482072
"316","B1K-51-04",37.0802447508607
"317","B1K-51-07",37.0155902896474
"318","B1K-51-10",33.0957828442721
"319","B1K-51-13",35.9206818936163
"320","B1K-51-19",37.4716704739414
